0,1,2,3,4
52180,20365,20365,21573,22619
58709,54652,54652,57071,54653
109558,69950,69950,68766,68361
72448,53440,53440,53319,51690
86919,56145,56145,56603,61703
70752,56752,56752,56627,55207
70752,56752,56752,56627,55207
49786,32989,32989,31787,32894
37463,24373,24373,22919,24757
84097,50406,50406,46042,46798
26147,17187,17187,16997,18750
62611,39560,39560,37870,37732
64010,47661,47661,43482,40189
45353,23859,23859,23953,24087
51386,44700,44700,41387,43021
49664,40279,40279,36377,35779
85383,37934,37934,40904,38342
47839,26178,26178,25972,29229
43794,32069,32069,31989,34018
30809,18799,18799,16630,17390
57726,56247,56247,53667,52663
25278,11450,11450,9083,10732
50844,57485,57485,52569,49968
74333,56417,56417,58056,59974
42860,32201,32201,29936,34631
49554,21509,21509,15107,12972
65278,38460,38460,41473,50981
53341,51318,51318,46282,42658
65749,57440,57440,55625,52119
86893,53057,53057,49878,65496
30760,32408,32408,31512,30239
94960,68092,68092,58107,51901
70032,64852,64852,62669,60686
42963,26367,26367,25876,27955
48187,37301,37301,33900,35158
48673,30690,30690,29885,35120
24693,20927,20927,19827,20597
50273,31835,31835,31289,29729
37012,16119,16119,15374,13925
91149,81812,81812,74222,73048
86181,69386,69386,61784,65893
76401,60147,60147,61325,62709
65342,52028,52028,47371,51707
69554,56629,56629,51966,60790
75156,66344,66344,61064,53716
56700,43345,43345,41392,39766
36849,23145,23145,20060,22440
67568,49743,49743,48006,36847
97778,91279,91279,86923,82755
60249,37097,37097,35760,34780
63088,37103,37103,35709,43294
62689,35291,35291,31172,32619
88468,49811,49811,43978,46377
52192,53338,53338,52226,47302
