0,1,2,3,4
32238,23413,23413,21540,22245
26570,15062,15062,12283,13228
64475,51161,51161,43470,40933
92764,51919,51919,56370,65501
46258,21418,21418,21721,25753
32916,22210,22210,22106,20801
32238,23413,23413,21540,22245
44278,40275,40275,38956,37124
29742,33069,33069,29827,27219
25488,19710,19710,18279,18412
33908,30527,30527,30605,29053
76491,61578,61578,62710,63130
44180,21976,21976,23013,20192
55369,49877,49877,47701,53286
49099,31127,31127,25788,27218
58228,54469,54469,51873,54156
25939,22033,22033,18641,21464
52380,28806,28806,27601,25765
46141,31259,31259,27574,30224
61739,49324,49324,48894,54045
60015,45450,45450,42925,37177
64783,28998,28998,35536,30678
90876,59573,59573,52438,42327
34118,34079,34079,31348,27457
94148,49321,49321,47781,59532
72321,56500,56500,54933,57552
24085,18529,18529,17133,19354
69261,45215,45215,45300,43364
81646,72424,72424,71723,67058
43625,35329,35329,35771,38083
62986,53675,53675,53937,50739
36408,30043,30043,24644,23304
10684,9050,9050,9427,10292
44356,28063,28063,26842,27091
60030,51557,51557,51124,47254
83141,44060,44060,41276,54483
32284,27820,27820,23799,26709
115231,82741,82741,77040,76086
58761,53162,53162,45905,49321
115231,82741,82741,77040,76086
87187,65769,65769,62799,55977
57599,44952,44952,44290,44226
39556,32195,32195,29393,28238
74410,64018,64018,59918,69057
73296,54619,54619,55096,57544
78117,56533,56533,54774,59268
96880,72462,72462,67240,67155
54495,30236,30236,30388,36395
54159,50983,50983,46488,44223
79132,57993,57993,57781,57731
65276,49392,49392,48524,50124
76402,56497,56497,52911,50371
72261,66821,66821,66910,63746
57644,38210,38210,36632,36271
82935,63480,63480,60179,63942
45909,36477,36477,37040,33615
58336,49234,49234,49410,51017
103538,68502,68502,66408,75681
54280,45591,45591,43948,41457
37044,26607,26607,26686,27333
42451,34789,34789,31605,26626
37861,31044,31044,30856,31644
22673,22171,22171,16365,17997
11976,5243,5243,5639,5603
13759,9485,9485,8113,6961
7863,5029,5029,5040,4977
23862,10506,10506,9815,11142
10597,8816,8816,7429,7241
7923,7829,7829,6471,5001
59528,29314,29314,28980,32482
6046,4477,4477,4508,4273
9852,4172,4172,3996,4386
26150,12881,12881,12766,14033
40295,19035,19035,16079,17736
44468,27925,27925,21159,16911
7706,4236,4236,4585,4407
29646,27512,27512,24771,24421
